RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
65,58,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2003ROS/CRA10647-10652:1,1,,,-114642,BNH2,,,HBNH,,,,1
67,60,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9014924BB4EA593E1BA6BDB9ECC2BDF6?id=1994MAR/ASC585-590:3,1,3.31,12,-162964,CH2=CHCH2NHSC(CH3)3,,,Other Products,Isobutene,,583,1
68,61,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39E5F1AFE975CFC0928E57E2039781D2?id=1994MAR/ASC585-590:2,1,9.77,10,-151323,CH2=CHCH2NHSC(CH3)3,,,Other Products,CH3CH=CH2,,583,1
72,65,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FF6B7EB5F37B0559B08FE2FB7502040?id=1997KIR/THU1801-1804:1,1,1.1,16,-93122,CH3OCH2OONO2,,,NO2,CH3OCH2OO(.),,257,1
73,66,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2486A80ABC0B380501374BA03AE4B4E?id=1991YAR/PEN7330-7337:6,1,2.6,-1,,ClCH=CHOO(.),,,HC(O)Cl,HCO,,"296
 
K",1
74,67,http://kinetics.nist.gov/kinetics/Detail;jsessionid=90267CACBC8721864BE41A14309BC176?id=1991YAR/PEN7330-7337:5,1,2.1,-1,,ClCH=CHOO(.),,,(CHO)2,(.)Cl,,"296
 
K",1
79,72,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9AF76E6F177D19C3F201AAB47D16CC4?id=1994GRO/GRO1099-1105:2,1,2.4,-4,,(CH3)2CHCH2C(O)OONO2,,,(CH3)2CHCH2C(O)OO(.),NO2,,"298
 
K",1
80,73,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9BBD4AEB518A43DDEAC6CA20886B7B04?id=1994GRO/GRO1099-1105:1,1,1.8,-4,,n-C4H9C(O)OONO2,,,CH3CH2CH2CH2C(O)OO(.),NO2,,"298
 
K",1
81,74,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F68B6589D64CD6EBC745B05F1AC91FAF?id=1993DEV/ZAS185-189:3,2,3.06,-2,-167952,CH3CH2Te,,,(.)C2H5,Te,,900,2
82,74,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F68B6589D64CD6EBC745B05F1AC91FAF?id=1993DEV/ZAS185-189:2,1,8,14,-167952,CH3CH2Te,,,(.)C2H5,Te,,900,1
83,75,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5DA1D910BBB45041970C18B9612265E8?id=1995RUS/DAV3717-3723:4,1,3.16,14,-149660,Manganese(1,"), [(1,2,3,4,5-eta)-1-methyl-2,4-cyclopentadien-1-yl]-",,Mn,"Cyclopentadienyl, methyl-",,523,1
84,76,http://kinetics.nist.gov/kinetics/Detail;jsessionid=927015A115DA55D1E3452C9C18A930F3?id=1995ZAC/TSA5308-5318:34,1,3.07,20,-191233,"2lambda2, 4lambda2, 6lambda2, 8lambda2-Cyclotetrasiloxane",,,SiO,"Cyclotrisiloxane-2,4,6-triylidene-",,1000,1
85,77,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F0A7DA635E3FD6501BEADFABD8E2E50C?id=2013DAM/WAN307-314:4,1,6.87,13,-189911,"2,6-dimethylphenyl",,,3-Methylbenzyl,,,298,1
87,79,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=2001ATK/BAU1-56:385,2,2,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2
88,79,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=1997ATK/BAU521-1011:468,2,2.01,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2
90,81,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AD87783E4A6D7F90E6EA13A0CFA8D92D?id=2010SIN/MIS57-64:2,1,1.1,8,,CF3CCl2O(.),,,CF3COCl,(.)Cl,,"298
 
K",1
91,82,http://kinetics.nist.gov/kinetics/Detail;jsessionid=735CB8D11377CF4EA99D8058BBFB95F0?id=2010SIN/MIS57-64:1,1,6.7,6,,CF3CCl2O(.),,,COCl2,(.)CF3,,"298
 
K",1
92,83,http://kinetics.nist.gov/kinetics/Detail;jsessionid=947DAE348DFF01A3767D3E25CDC04F18?id=2009SIN/MIS1096-1101:2,1,4.6,5,,CF3CFClO(.),,,CF3COF,(.)Cl,,"298
 
K",1
93,84,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4867360DE565BE15582AB6B2340EB628?id=2009SIN/MIS1096-1101:1,1,5.1,4,,CF3CFClO(.),,,COClF,(.)CF3,,"298
 
K",1
94,85,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FA9C9D49610CBE86316EF8CF5146F69?id=1994MOG/NIE375-380:2,1,1.3,-2,,CF3CFHOONO2,,,NO2,CF3CFHO2(.),,"296
 
K",1
95,86,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:5,1,1.66,4,,"Methyl, ethoxy(1-methylethoxy)phenyl-",,,Ethyl benzoate,2-C3H7,,"329
 
K",1
96,86,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:6,1,1.2,1,,"Methyl, ethoxy(1-methylethoxy)phenyl-",,,Ethyl benzoate,2-C3H7,,"329
 
K",1
97,87,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:3,1,1.38,3,,"Methyl, methoxy(1-methylethoxy)phenyl-",,,Benzoic acid 1-methylethyl ester,(.)CH3,,"329
 
K",1
98,87,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:4,1,4,1,,"Methyl, methoxy(1-methylethoxy)phenyl-",,,Benzoic acid 1-methylethyl ester,(.)CH3,,"329
 
K",1
99,88,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4C824505AE75C3F1AACF5D53D78B09CF?id=1993BAN/SCA2473-2477:1,1,2.13,2,,"Methyl, ethoxymethoxyphenyl-",,,Methylbenzoate,(.)C2H5,,"329
 
K",1
102,90,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FA5F39E9FE2B432126CEB536C8FF0731?id=2004LEC/VIL795-805:33,2,1.45,-11,,Acylperoxy radical,Acylperoxy radical,,(CH3)3CC(O)O,(CH3)3CC(O)O,O2,"296
 
K",2
103,91,http://kinetics.nist.gov/kinetics/Detail;jsessionid=184F5E86378EE4DDA206D984F12E7EE4?id=2004LEC/VIL795-805:34,2,1.44,-11,,(CH3)2CHC(O)O2,(CH3)2CHC(O)O2,,O2,(CH3)2CHC(O)O(.),(CH3)2CHC(O)O(.),"296
 
K",2
104,92,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BEFB15370874746FA3FF809DC5AE5B6?id=1962TAY/SMI4817-4824:24,1,8.34,12,-187076,"Benzyl alcohol, m-fluoro-α-methyl-, acetate",,,CH3C(O)OH,"Benzene, 1-ethenyl-3-fluoro-",,599,1
106,94,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89E98B054AE5A711D6FDD725769132A3?id=1997ATK/BAU521-1011:467,2,3.01,-12,,CHF2CF2OO(.),CHF2CF2OO(.),,Other Products,O2,,"298
 
K",2
109,96,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89DC4A500BB17215EC1346D04149466F?id=1997ATK/BAU521-1011:466,2,3.75,-12,,CHF2OO,CHF2OO,,Other Products,O2,,"298
 
K",2
112,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4,1,7.6,24,-29350,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,264,1
113,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:3,1,2.4,12,-38911,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1
114,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:17,1,3.3,5,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1
115,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:18,1,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1
116,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:39,1,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1
119,101,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:21,1,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1
120,101,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:22,1,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1
121,102,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:24,1,2.2,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1
122,102,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:23,1,2.6,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1
124,104,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3F9EA40643F35B07E42523B21058F172?id=2004JOH/CAS519-523:1,1,9.2,10,-30500,CH3CH(O.)CH2CH2CH3,,,(.)CH2CH2CH2CH(OH)CH3,,,264,1
127,107,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7C05BB3E4C57C274CE0125EE6885A285?id=1995LON/WAN12810-12818:2,1,1,10,,Fe(CO)3(η2-CH3CH=CH2),,,HFe(3)CO(η3-CH2CH=CH2),,,"296
 
K",1
128,108,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F3A525F390A9BC088966C6D3FFA103B8?id=1996MAR/SZE4514-4520:3,2,3.7,-12,2245,CF3C(O)OO(.),CF3C(O)OO(.),,O2,CF3C(O)O,CF3C(O)O,210,2
129,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1994RAT/ROW1819-1829:2,1,7.4,11,-39244,CF3CFHO,,,HFCO,(.)CF3,,235,1
130,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:3,2,1.01,-7,-33906,CF3CFHO,,,HFCO,(.)CF3,,259,2
131,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:10,2,1.1,-6,-46370,CF3CFHO,,,HFCO,(.)CF3,,200,2
132,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996WAL/HUR18116-18122:3,2,1.02,1,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",2
133,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:4,1,5.9,13,-43734,CF3CFHO,,,HFCO,(.)CF3,,259,1
134,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:5,1,3.82,13,-53329,CF3CFHO,,,HFCO,(.)CF3,,200,1
135,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:6,1,9.58,12,-51217,CF3CFHO,,,HFCO,(.)CF3,,200,1
136,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:7,1,3.99,12,-50045,CF3CFHO,,,HFCO,(.)CF3,,200,1
137,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:8,1,3.52,12,-49879,CF3CFHO,,,HFCO,(.)CF3,,200,1
138,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:9,1,7.61,11,-48149,CF3CFHO,,,HFCO,(.)CF3,,200,1
139,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997MOG/SEH209-217:3,1,3.3,5,,CF3CFHO,,,HFCO,(.)CF3,,"296
 
K",1
140,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996BED/BRE528-539:6,1,1.8,4,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1
141,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1992MAR/SZE10862-10868:7,1,3.7,7,-18292,CF3CFHO,,,HFCO,(.)CF3,,211,1
142,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998SCH/WAL1850-1856:1,1,4.8,13,-47698,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1
143,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998HAS/MOO541-554:1,1,8.59,4,,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1
144,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997SEH/MOG673-682:10,1,1,3,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1
145,110,http://kinetics.nist.gov/kinetics/Detail;jsessionid=49B48032FF37A604E3189A41D44F93D5?id=2001KOR/BOL1516-1523:1,2,4.98,-12,-48070,HN(NO2)2-NH3,,,NH3,HN(NO2)2,,433,2
146,111,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:1,1,1.5,14,-112245,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),,423,1
147,111,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:2,1,4.8,18,-139683,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),,423,1
148,111,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:3,1,2.9,16,-139683,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),,423,1
151,114,http://kinetics.nist.gov/kinetics/Detail;jsessionid=182E64FD7514A36A771B26650ACB0FD9?id=1992HOP/WAC711-721:5,1,1.95,10,-147998,CH2=C=CHCH(CH3)CH=CH2,,,CH≡CCH2CH2CH=CHCH3-(Z)-,,,493,1
152,115,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BEBE1307C21AFA85328B8522DB57DC05?id=1992HOP/WAC711-721:4,1,2.51,10,-140515,CH2=C=CHCH(CH3)CH=CH2,,,"CH≡CCH2CH2CH=CHCH3(E),-",,,493,1
153,116,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0954413FEEEBE3A89717DB4EEE0141CF?id=1992HOP/WAC711-721:3,1,3.16,10,-149660,CH2=C=CHCH(CH3)CH=CH2,,,Other Products,"Cyclopentene, 2-methyl-4-methylene-",,493,1
154,117,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A274B1B27949BC30C729230B3CF012FA?id=1991MAR/ASC579-585:4,1,6.31,10,-144672,"Disulfide 1,1-dimethylethyl 4-fluorophenyl",,,Isobutene,"Benzenesulfenothioic acid, 4-fluoro-",,673,1
155,118,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7AAFFDE9EEACD75DD20966A4DC4B2C57?id=1991MAR/ASC579-585:3,1,2.88,-13,-184581,"Disulfide 1,1-dimethylethyl 4-nitrophenyl",,,Isobutene,"Benzenesulfenothioic acid, 4-nitro-",,693,1
157,120,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1CC93C24CF4443CC51AA970DF6F1357?id=1996GAJ/OLS299-306:2,1,1.43,-5,,"Cyclopropane-1,2-d2, 3-[2,2-dimethyl1-(methylene-d2)propyl], [1α,2α,3β(Z)]-",,,"Cyclopentene-3,4,5-d3, 1-(1,1-dimethylethyl)-(3α,4β,5α)-",,,"563
 
K",1
159,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:12,1,3.63,15,-440157,HOPO2,,,(.)OH,PO2,,1000,1
160,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:14,1,2.57,18,-382836,HOPO2,,,(.)OH,PO2,,1000,1
161,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:13,1,9.16,-26,-506264,HOPO2,,,(.)OH,PO2,,1000,1
162,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:11,1,2.01,18,-468608,HOPO2,,,(.)OH,PO2,,1000,1
163,123,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DB509E10B70AE2217D450110607C635D?id=1993WAL/HUR442-448:4,1,3,-3,,CF3ONO2,,,NO2,CF3O,,"205
 
K",1
175,129,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1997SEH/MOG673-682:9,2,3.16,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"295
 
K",2
176,129,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1992MAR/SZE10862-10868:5,2,5.99,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"297
 
K",2
177,130,http://kinetics.nist.gov/kinetics/Detail;jsessionid=75C57DA4CFFBCB92200CD675B43D33E1?id=1997ATK/BAU521-1011:463,2,7.8,-13,5030,CF3CFHO2(.),CF3CFHO2(.),,Other Products,O2,,200,2
