RecordID,RID,RecordType,Squib,PaperDetails,Temperature,FrequencyFactor,TemperatureRatioExponent,ActivationEnergy,RateConstant,ReactionOrder
378,261,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4B7011500A63D0A979A581E00E84489D?id=2004LUO/LI5050-5056:1,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,3.30E+11,2.19,59500.0,12.51,1.0
458,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2011ZHU/LIN328-339:22,"Ab initio chemical kinetics for ClO reactions with HOx, ClOx and NOx (x=1, 2): A review, Zhu, R. S.; Lin, M. C. Comput. Theor. Chem. 965, 328 (2011)",180 - 500,5.12E-06,-4.9,53900.0,1.8E-15,2.0
459,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2003ZHU/LIN4094-4106:10,"Ab initio studies of ClO<sub>x</sub> reactions. IV. Kinetics and mechanism for the self-reaction of ClO radicals, Zhu, R.S.; Lin, M.C. J. Chem. Phys. 118, 4094 (2003)",180 - 500,5.12E-06,-4.9,53900.0,1.8E-15,2.0
460,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2011ZHU/LIN328-339:24,"Ab initio chemical kinetics for ClO reactions with HOx, ClOx and NOx (x=1, 2): A review, Zhu, R. S.; Lin, M. C. Comput. Theor. Chem. 965, 328 (2011)",180 - 500,5.55E+16,-1.63,53800.0,20400000,1.0
461,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2003ZHU/LIN4094-4106:9,"Ab initio studies of ClO<sub>x</sub> reactions. IV. Kinetics and mechanism for the self-reaction of ClO radicals, Zhu, R.S.; Lin, M.C. J. Chem. Phys. 118, 4094 (2003)",180 - 500,5.55E+16,-1.63,53800.0,20400000,1.0
462,329,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6B27EBD4C7A7940243AF7973887E6E2E?id=2007BRU/JOD194-200:8,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,9.15E+15,-0.82,317000.0,2.23E-40,1.0
463,330,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9F26CF3C86FF53397E39FB8307C2006B?id=2007BRU/JOD194-200:16,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,3.21E+15,-0.5,170000.0,5.22E-15,1.0
503,364,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7E3FDEC65F64AF32FF12C368E1331CC4?id=2005ZHA/ZHA317-321:1,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.05E+16,-1.53,155000.0,1.51E-11,1.0
504,365,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E78FA9B5BFFEA1E3A9954B7817D046FA?id=2005ZHA/ZHA317-321:2,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.57E+16,-0.69,160000.0,2.31E-12,1.0
505,366,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=20FA0DB39315605EAF71E66E68F64583?id=2005ZHA/ZHA317-321:3,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,1.85E+13,0.96,187000.0,3.05E-20,1.0
506,367,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A2DB5A276722FB9D50E92E56F16D4398?id=2005ZHA/ZHA317-321:4,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.73E+13,0.96,179000.0,9.98E-19,1.0
507,368,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=442568E33BF68A383DB8E9B50960492D?id=2005ZHA/ZHA317-321:5,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.15E+13,0.47,179000.0,8.51E-19,1.0
539,391,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2804B82A2FF5B16B2581AAE6580143A9?id=1996LAY/BOZ6543-6554:8,"Atmospheric photochemical oxidation of benzene: benzene + OH and the benzene-OH adduct (hydroxyl-2,4-cyclohexadienyl) + O<sub>2</sub>, Lay, T.H.; Bozzelli, J.W.; Seinfeld, J.H. J. Phys. Chem. 100, 6543 (1996)",200 - 400,8.49E+13,-10.9,81100.0,0.51,1.0
540,392,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2BDE8BC21C225299964FFD81D9E88FC?id=1996LAY/BOZ6543-6554:7,"Atmospheric photochemical oxidation of benzene: benzene + OH and the benzene-OH adduct (hydroxyl-2,4-cyclohexadienyl) + O<sub>2</sub>, Lay, T.H.; Bozzelli, J.W.; Seinfeld, J.H. J. Phys. Chem. 100, 6543 (1996)",200 - 400,2.08E-10,-11.3,78700.0,3.39E-24,2.0
542,394,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1C6C4F4E88771DC2652363825D19DE7C?id=1998GOL/SMI8598-8606:3,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,1.03E-29,-2.68,158000.0,2.25E-57,2.0
543,394,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1C6C4F4E88771DC2652363825D19DE7C?id=1998GOL/SMI8598-8606:4,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,18.14,0.04,154000.0,2.04E-26,1.0
544,395,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1616CB93887F5BDD1DB7C25E9B9CA1CE?id=1998GOL/SMI8598-8606:7,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,1.40E-29,-2.61,158000.0,2.9E-57,2.0
545,395,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1616CB93887F5BDD1DB7C25E9B9CA1CE?id=1998GOL/SMI8598-8606:8,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,114,0.39,152000.0,2.63E-25,1.0
605,431,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9AD6B59E7099A939524321E414AF1201?id=2010XU/LIN11477-11482:8,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 900,6.78E-07,-4.16,74500.0,5.97E-20,2.0
606,431,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9AD6B59E7099A939524321E414AF1201?id=2010XU/LIN11477-11482:6,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 2000,7.59E+14,-0.72,70400.0,348,1.0
897,639,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=78A41A20BD98DA77422BE85C12F1AE15?id=2003KAK93-104:14,"C3H4: Density functional study of interconversion of isomers, Kakkar, R. Int. J. Quant. Chem. 94, 93 (2003)",298 - 1500,1.22E+12,0.12,5858.0,1.15E+11,1.0
1042,754,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=50A0D82B9F3C75236E88BA9850D284D7?id=2013MOU/MOR6744-6756:14,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,9.58E+10,2.1,184000.0,4.38E-22,1.0
1065,770,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CC256FEDB894B47B788603692DD0095B?id=1999GOU/ROC11328-11335:5,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,4.16E-07,-3.29,79900.0,4.11E-21,2.0
1066,770,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CC256FEDB894B47B788603692DD0095B?id=1999GOU/ROC11328-11335:6,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,3.42E+13,0.9,76800.0,1.17,1.0
1068,772,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=52B9900D8030C8E25883961A57D02976?id=1999GOU/ROC11328-11335:11,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,0.02,-5.31,131000.0,2.33E-25,2.0
1069,772,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=52B9900D8030C8E25883961A57D02976?id=1999GOU/ROC11328-11335:12,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,2.79E+12,1.31,109000.0,0.000000258,1.0
1103,794,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D3FA66DF36542C2A83B0009D81D31D70?id=1995ZAC/TSA5308-5318:28,"Theoretical calculation of thermochemistry, energetics, and kinetics of high-temperature Si<sub>x</sub>H<sub>y</sub>O<sub>z</sub> reactions, Zachariah, M.R.; Tsang, W. J. Phys. Chem. 99, 5308 (1995)",100 - 2500,2.44E+21,-4.7,238000.0,5.09E-21,1.0
1215,877,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB76749E91564764E68306E0A0679FFF?id=2015YAN/FEL491-498:4,"Kinetic studies of methyl acetate pyrolysis and oxidation in a flow reactor and a low-pressure flat flame using molecular-beam mass spectrometry, Yang, X. L.; Felsmann, D.; Kurimoto, N.; Kruger, J.; Wada, T.; Tan, T.; Carter, E. A.; Kohse-Hoinghaus, K.; Ju, Y. G. Proc. Combust. Inst. 35, 491 (2015)",250 - 2000,2.05E+21,-9.68,215000.0,4.48E-17,1.0
1258,915,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5361BFCB7FD074E0450D82F65C7D568C?id=2013CHE/ZHA38-45:20,"Theoretical kinetic investigation of thermal decomposition of methylcyclohexane, Chen, L.; Zhang, T. L.; Li, C. Y.; Wang, W. N.; Lu, J.; Wang, W. L. Comput. Theor. Chem. 1026, 38 (2013)",298 - 2000,1.38E+14,0.39,143000.0,1.31E-11,1.0
1259,916,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=851A1A20686B5378D6795B77700DF3AF?id=2013CHE/ZHA38-45:21,"Theoretical kinetic investigation of thermal decomposition of methylcyclohexane, Chen, L.; Zhang, T. L.; Li, C. Y.; Wang, W. N.; Lu, J.; Wang, W. L. Comput. Theor. Chem. 1026, 38 (2013)",298 - 2000,2.32E+13,0.54,102000.0,0.0000351,1.0
1304,943,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=291F74D3A7467B5F4F14B28A965AFA72?id=2007BRU/JOD194-200:11,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,5.01E+15,-0.38,210000.0,8.82E-22,1.0
1305,944,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1CF40BEB8472C1B6A11E19DFE05E8620?id=2007BRU/JOD194-200:3,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.21E+16,-0.73,312000.0,2.13E-39,1.0
1310,949,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BE930A2D87221B9CD92042187008ECE7?id=2013CHE/ZHA38-45:42,"Theoretical kinetic investigation of thermal decomposition of methylcyclohexane, Chen, L.; Zhang, T. L.; Li, C. Y.; Wang, W. N.; Lu, J.; Wang, W. L. Comput. Theor. Chem. 1026, 38 (2013)",298 - 2000,3.18E+14,0.5,142000.0,3.73E-11,1.0
1371,978,Review,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AAF9AEB175E44C3AD871BA9B5DA51309?id=1997ATK/BAU521-1011:439,"Evaluated kinetic, photochemical and heterogeneous data for atmospheric chemistry: supplement V, IUPAC subcommittee on gas kinetic data evaluation for atmospheric chemistry, Atkinson, R.; Baulch, D.L.; Cox, R.A.; Hampson, R.F., Jr.; Kerr, J.A.; Rossi, M.J.; Troe, J. J. Phys. Chem. Ref. Data 26, 521 (1997)",233 - 373,0.5,-6,104000.0,3.03E-19,2.0
1372,978,Review,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AAF9AEB175E44C3AD871BA9B5DA51309?id=1992ATK/BAU1125-1568:433,"Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry. Supplement IV, IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, Atkinson, R.; Baulch, D.L.; Cox, R.A.;Hampson Jr., R.F.; Kerr, J.A.; Troe, J. J. Phys. Chem. Ref. Data 21, 1125 (1992)",233 - 373,0.5,-6,104000.0,3.03E-19,2.0
1403,999,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7ECC13A62431335F2939813EDC19C5A9?id=2003DES/KLI4415-4427:9,"Measurements, Theory, and Modeling of OH Formation in Ethyl + O<sub>2</sub> and Propyl + O<sub>2</sub> Reactions, DeSain, J.D.; Klippenstein, S.J.; Miller, J.A.; Taatjes, C.A. J. Phys. Chem. A 107, 4415 (2003)",296 - 700,2.02E+14,-4.48,136000.0,2.45E-10,1.0
1593,1130,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7ABC4D257F358D0B1FB50A651FBB3F4A?id=2009BRU/GOL1061-1066:10,"Theoretical kinetic study of the formation reactions of methanol and methyl hypohalites in the gas phase, Brudnik, K.; Gola, A.A.; Jodkowski, J.T. J. Mol. Modeling 15, 1061 (2009)",200 - 500,2.19E+16,0.85,351000.0,6.24E-46,1.0
1595,1131,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3F3D0E54869D157406539BA367AD7378?id=2009BRU/GOL1061-1066:14,"Theoretical kinetic study of the formation reactions of methanol and methyl hypohalites in the gas phase, Brudnik, K.; Gola, A.A.; Jodkowski, J.T. J. Mol. Modeling 15, 1061 (2009)",200 - 500,2.20E+15,0.08,195000.0,1.62E-19,1.0
1609,1144,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CDD526FD3A17A5025E90EAB4D9732755?id=2007BRU/JOD194-200:9,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.99E+15,0.97,461000.0,2.87E-66,1.0
1610,1145,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AE3D07978FC25D327E4D7C7FDE3CDDF0?id=2007BRU/JOD194-200:1,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,2.30E+15,0.26,395000.0,1.16E-54,1.0
1689,1205,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=152C1C7C2952695E65A7F13F827A41C1?id=2005WAN/WAN370-374:1,"Direct dynamics on the isomerization and H2 elimination reactions of H3PS, Wang, W.N.; Wang, W.L.; Luo, Q.; Li, Q.S.; Chem. Phys. Lett. 415, 370 (2005)",200 - 2000,171,13.39,101000.0,3.03E-16,1.0
1690,1206,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0067303993AEAE337D2B174A0D63DCD9?id=2005WAN/WAN370-374:2,"Direct dynamics on the isomerization and H2 elimination reactions of H3PS, Wang, W.N.; Wang, W.L.; Luo, Q.; Li, Q.S.; Chem. Phys. Lett. 415, 370 (2005)",200 - 2000,2894,11.86,157000.0,8.38E-25,1.0
