RecordID,RID,RecordType,Squib,PaperDetails,Temperature,FrequencyFactor,TemperatureRatioExponent,ActivationEnergy,RateConstant,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
48,47,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2D6D34F04302B664440C18828AA926DB?id=2003TOK/LIN11397-11408:16,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,3.92E+13,0.26,158000.0,7.7e-15,1.0,3.92,13,-158072,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,,2-((.))C6H4C2H3,,
51,49,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2010DAS6698-6705:6,"Hydroxyl radical regeneration in the photochemical oxidation of glyoxal: kinetics and mechanism of the HC(O)CO + O<sub>2</sub> reaction, da Silva, G. Phys. Chem. Chem. Phys. 12, 6698 (2010)",200 - 2000,2.37E+14,0.13,42400.0,8710000.0,1.0,2.37,14,-42413,HC(O)CO,,,CO,HCO,
64,58,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2006ZHA/LI190-196:1,"The reaction of aminoboranylidene-iminoborane isomerization: a CASSCF direct dynamics study, Zhang, J.-G.; Li, Q.S.; Zhang, S.-W.; J. Mol. Model. 12, 190 (2006)",200 - 2500,2.91E+04,9.37,43700.0,0.000629,1.0,2.91,4,-43734,BNH2,,,HBNH,,
202,148,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=67879F93D9690D7BF15A3946ED353576?id=2013CAO/WAN1161:1,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.39E+12,0.09,65300.0,12.1,1.0,3.39,12,-65310,CH3SO3,,,(.)CH3,SO3,
203,149,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A98FE4235CB6A424327D430F6432ED35?id=2013CAO/WAN1161:2,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,9.17E+12,0.11,156000.0,3.45e-15,1.0,9.17,12,-156462,CH3SO3,,,CH3O(.),SO2,
204,150,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A0A770DA5F3B3A3807C0A2C2626EB66A?id=2013CAO/WAN1161:6,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.29E+12,0.15,65100.0,12.7,1.0,3.29,12,-65115,CH3SO3,,,Products,,
205,151,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ED1A191BE48C5D4EEE45D6083475A77?id=2013CAO/WAN1161:3,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,1.72E+13,0.15,208000.0,5.68e-24,1.0,1.72,13,-208128,CH3SO3,,,HOSO,CH2O,
206,152,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=296F07DE1C5DE8D3306716DF83307CDA?id=2013CAO/WAN1161:4,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,1.05E+12,0.8,256000.0,1.53e-33,1.0,1.05,12,-255803,CH3SO3,,,(.)CH=SO2,H2O,
207,153,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2E3B69CFA23C90BDDD6B94F6641DA9F4?id=2013CAO/WAN1161:5,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.32E+12,1.45,376000.0,3.7799999999999995e-54,1.0,3.32,12,-376222,CH3SO3,,,(.)CH2SO3,H(.),
222,163,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D35467B2E7A80157E34E1EFBC956A635?id=2003TOK/LIN11397-11408:7,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,4.61E+11,0.81,110000.0,2.5e-08,1.0,4.61,11,-109914,2-((.))C6H4C2H3,,,2-Phenylethenyl,,
376,259,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C334B1BA4E21A9D15490193064A59F57?id=2004LUO/LI5050-5056:4,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,92.82,10.9,32200.0,0.000211,1.0,9.28,1,-32202,CH2FO(.),,,(.)CHFOH,,
377,260,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=50CC59F31AA7A7B25A7820111957CAF3?id=2004LUO/LI5050-5056:2,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,3.61E+10,3.23,103000.0,3.9e-08,1.0,3.61,10,-102501,CH2FO(.),,,HCO,HF,
378,261,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4B7011500A63D0A979A581E00E84489D?id=2004LUO/LI5050-5056:1,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,3.30E+11,2.19,59500.0,12.51,1.0,3.3,11,-59457,CH2FO(.),,,HFCO,H(.),
458,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2011ZHU/LIN328-339:22,"Ab initio chemical kinetics for ClO reactions with HOx, ClOx and NOx (x=1, 2): A review, Zhu, R. S.; Lin, M. C. Comput. Theor. Chem. 965, 328 (2011)",180 - 500,5.12E-06,-4.9,53900.0,1.8e-15,2.0,5.12,-6,-53944,Cl(ClO2),,,ClO,ClO,
459,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2003ZHU/LIN4094-4106:10,"Ab initio studies of ClO<sub>x</sub> reactions. IV. Kinetics and mechanism for the self-reaction of ClO radicals, Zhu, R.S.; Lin, M.C. J. Chem. Phys. 118, 4094 (2003)",180 - 500,5.12E-06,-4.9,53900.0,1.8e-15,2.0,5.12,-6,-53944,Cl(ClO2),,,ClO,ClO,
460,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2011ZHU/LIN328-339:24,"Ab initio chemical kinetics for ClO reactions with HOx, ClOx and NOx (x=1, 2): A review, Zhu, R. S.; Lin, M. C. Comput. Theor. Chem. 965, 328 (2011)",180 - 500,5.55E+16,-1.63,53800.0,20400000.0,1.0,5.55,16,-53828,Cl(ClO2),,,ClO,ClO,
461,328,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=22B2E66BEF9A6D0CCB0EA3228D4B659B?id=2003ZHU/LIN4094-4106:9,"Ab initio studies of ClO<sub>x</sub> reactions. IV. Kinetics and mechanism for the self-reaction of ClO radicals, Zhu, R.S.; Lin, M.C. J. Chem. Phys. 118, 4094 (2003)",180 - 500,5.55E+16,-1.63,53800.0,20400000.0,1.0,5.55,16,-53828,Cl(ClO2),,,ClO,ClO,
462,329,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6B27EBD4C7A7940243AF7973887E6E2E?id=2007BRU/JOD194-200:8,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,9.15E+15,-0.82,317000.0,2.23e-40,1.0,9.15,15,-317280,CBr3OBr,,,CBr3,BrO,
463,330,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9F26CF3C86FF53397E39FB8307C2006B?id=2007BRU/JOD194-200:16,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,3.21E+15,-0.5,170000.0,5.22e-15,1.0,3.21,15,-169948,CBr3OBr,,,CBr3O(&middot),Br(.),
503,364,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7E3FDEC65F64AF32FF12C368E1331CC4?id=2005ZHA/ZHA317-321:1,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.05E+16,-1.53,155000.0,1.51e-11,1.0,2.05,16,-154799,"Azetidine, 1,3,3-trinitro-",,,cyc-N((.))CH2C(NO2)2CH2,NO2,
504,365,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E78FA9B5BFFEA1E3A9954B7817D046FA?id=2005ZHA/ZHA317-321:2,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.57E+16,-0.69,160000.0,2.31e-12,1.0,2.57,16,-160004,"Azetidine, 1,3,3-trinitro-",,,cyc-C((.))(NO2)CH2N(NO2)CH2,NO2,
505,366,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=20FA0DB39315605EAF71E66E68F64583?id=2005ZHA/ZHA317-321:3,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,1.85E+13,0.96,187000.0,3.05e-20,1.0,1.85,13,-187026,"Azetidine, 1,3,3-trinitro-",,,cyc-CH2N=CHC(NO2)2,HNO2,
506,367,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A2DB5A276722FB9D50E92E56F16D4398?id=2005ZHA/ZHA317-321:4,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.73E+13,0.96,179000.0,9.98e-19,1.0,2.73,13,-179351,"Azetidine, 1,3,3-trinitro-",,,cyc-CH2N(NO2)CH=C(NO2),HNO2,
507,368,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=442568E33BF68A383DB8E9B50960492D?id=2005ZHA/ZHA317-321:5,"A direct ab initio dynamics study of the initial decomposition steps of gas phase 1,3,3-trinitroazetidine, Zhao, Q.H.; Zhang, S.W.; Li, Q.S. Chem. Phys. Lett. 412, 317 (2005)",250 - 2500,2.15E+13,0.47,179000.0,8.51e-19,1.0,2.15,13,-179160,"Azetidine, 1,3,3-trinitro-",,,((.))CH2N(NO2)CH2C((.))(NO2)2,,
539,391,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2804B82A2FF5B16B2581AAE6580143A9?id=1996LAY/BOZ6543-6554:8,"Atmospheric photochemical oxidation of benzene: benzene + OH and the benzene-OH adduct (hydroxyl-2,4-cyclohexadienyl) + O<sub>2</sub>, Lay, T.H.; Bozzelli, J.W.; Seinfeld, J.H. J. Phys. Chem. 100, 6543 (1996)",200 - 400,8.49E+13,-10.9,81100.0,0.51,1.0,8.49,13,-81149,"2,4-Cyclohexadienylperoxy, 6-hydroxy-",,,Phenol,HO2,
540,392,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2BDE8BC21C225299964FFD81D9E88FC?id=1996LAY/BOZ6543-6554:7,"Atmospheric photochemical oxidation of benzene: benzene + OH and the benzene-OH adduct (hydroxyl-2,4-cyclohexadienyl) + O<sub>2</sub>, Lay, T.H.; Bozzelli, J.W.; Seinfeld, J.H. J. Phys. Chem. 100, 6543 (1996)",200 - 400,2.08E-10,-11.3,78700.0,3.3899999999999996e-24,2.0,2.08,-10,-78655,"2,4-Cyclohexadienylperoxy, 6-hydroxy-",,,Adduct,,
542,394,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1C6C4F4E88771DC2652363825D19DE7C?id=1998GOL/SMI8598-8606:3,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,1.03E-29,-2.68,158000.0,2.2500000000000001e-57,2.0,1.03,-29,-157800,DOC(O)(.),,,CO,OD,
543,394,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1C6C4F4E88771DC2652363825D19DE7C?id=1998GOL/SMI8598-8606:4,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,18.14,0.04,154000.0,2.04e-26,1.0,1.81,1,-153751,DOC(O)(.),,,CO,OD,
544,395,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1616CB93887F5BDD1DB7C25E9B9CA1CE?id=1998GOL/SMI8598-8606:7,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,1.40E-29,-2.61,158000.0,2.9e-57,2.0,1.4,-29,-157942,DOC(O)(.),,,CO2,D,
545,395,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1616CB93887F5BDD1DB7C25E9B9CA1CE?id=1998GOL/SMI8598-8606:8,"OH(OD) + CO: measurements and an optimized RRKM fit, Golden, D.M.; Smith, G.P.; McEwen, A.B.; Yu, C.-L.; Eiteneer, B.; Frenklach, M.; Yaghjiani, G.L.; Ravishankara, A.R.; Tully, F.P. J. Phys. Chem. A 102, 8598 (1998)",253 - 2600,114,0.39,152000.0,2.63e-25,1.0,1.14,2,-151972,DOC(O)(.),,,CO2,D,
605,431,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9AD6B59E7099A939524321E414AF1201?id=2010XU/LIN11477-11482:8,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 900,6.78E-07,-4.16,74500.0,5.97e-20,2.0,6.78,-7,-74481,ClClO,,,ClO,(.)Cl,
606,431,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9AD6B59E7099A939524321E414AF1201?id=2010XU/LIN11477-11482:6,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 2000,7.59E+14,-0.72,70400.0,348.0,1.0,7.59,14,-70399,ClClO,,,ClO,(.)Cl,
897,639,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=78A41A20BD98DA77422BE85C12F1AE15?id=2003KAK93-104:14,"C3H4: Density functional study of interconversion of isomers, Kakkar, R. Int. J. Quant. Chem. 94, 93 (2003)",298 - 1500,1.22E+12,0.12,5858.0,115000000000.0,1.0,1.22,12,-5858,1-Propenylidene,,,Cyclopropene,,
1042,754,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=50A0D82B9F3C75236E88BA9850D284D7?id=2013MOU/MOR6744-6756:14,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,9.58E+10,2.1,184000.0,4.38e-22,1.0,9.58,10,-184500,HOSH,,,H2OS,,
1065,770,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CC256FEDB894B47B788603692DD0095B?id=1999GOU/ROC11328-11335:5,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,4.16E-07,-3.29,79900.0,4.1100000000000006e-21,2.0,4.16,-7,-79902,HSO2,,,SO2,H(.),
1066,770,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CC256FEDB894B47B788603692DD0095B?id=1999GOU/ROC11328-11335:6,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,3.42E+13,0.9,76800.0,1.17,1.0,3.42,13,-76826,HSO2,,,SO2,H(.),
1068,772,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=52B9900D8030C8E25883961A57D02976?id=1999GOU/ROC11328-11335:11,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,0.02,-5.31,131000.0,2.33e-25,2.0,2.1,-2,-130953,HSO2,,,HOSO,,
1069,772,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=52B9900D8030C8E25883961A57D02976?id=1999GOU/ROC11328-11335:12,"Characterization of Reaction Pathways on the Potential Energy Surfaces for H + SO<sub>2</sub> and HS + O<sub>2</sub>, Goumri, A.; Rocha, J.-D. R.; Laakso, D.; Smith, C.E.; Marshall, P. J. Phys. Chem. A 103, 11328 (1999)",200 - 2000,2.79E+12,1.31,109000.0,2.58e-07,1.0,2.79,12,-108587,HSO2,,,HOSO,,
1103,794,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D3FA66DF36542C2A83B0009D81D31D70?id=1995ZAC/TSA5308-5318:28,"Theoretical calculation of thermochemistry, energetics, and kinetics of high-temperature Si<sub>x</sub>H<sub>y</sub>O<sub>z</sub> reactions, Zachariah, M.R.; Tsang, W. J. Phys. Chem. 99, 5308 (1995)",100 - 2500,2.44E+21,-4.7,238000.0,5.09e-21,1.0,2.44,21,-237794,HSi(O)OH,,,:Si(OH)2,,
1215,877,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB76749E91564764E68306E0A0679FFF?id=2015YAN/FEL491-498:4,"Kinetic studies of methyl acetate pyrolysis and oxidation in a flow reactor and a low-pressure flat flame using molecular-beam mass spectrometry, Yang, X. L.; Felsmann, D.; Kurimoto, N.; Kruger, J.; Wada, T.; Tan, T.; Carter, E. A.; Kohse-Hoinghaus, K.; Ju, Y. G. Proc. Combust. Inst. 35, 491 (2015)",250 - 2000,2.05E+21,-9.68,215000.0,4.48e-17,1.0,2.05,21,-214861,(.)CH2C(O)OCH3,,,CH2O,CH3CO,
1258,915,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5361BFCB7FD074E0450D82F65C7D568C?id=2013CHE/ZHA38-45:20,"Theoretical kinetic investigation of thermal decomposition of methylcyclohexane, Chen, L.; Zhang, T. L.; Li, C. Y.; Wang, W. N.; Lu, J.; Wang, W. L. Comput. Theor. Chem. 1026, 38 (2013)",298 - 2000,1.38E+14,0.39,143000.0,1.31e-11,1.0,1.38,14,-142759,CH2=CHCH(CH3)CH2(.),,,CH3CH=CH2,C2H3,
1259,916,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=851A1A20686B5378D6795B77700DF3AF?id=2013CHE/ZHA38-45:21,"Theoretical kinetic investigation of thermal decomposition of methylcyclohexane, Chen, L.; Zhang, T. L.; Li, C. Y.; Wang, W. N.; Lu, J.; Wang, W. L. Comput. Theor. Chem. 1026, 38 (2013)",298 - 2000,2.32E+13,0.54,102000.0,3.51e-05,1.0,2.32,13,-101669,CH2=CHCH(CH3)CH2(.),,,"1,3-Butadiene",(.)CH3,
1304,943,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=291F74D3A7467B5F4F14B28A965AFA72?id=2007BRU/JOD194-200:11,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,5.01E+15,-0.38,210000.0,8.82e-22,1.0,5.01,15,-209691,CCl3OCl,,,(.)F,CCl3O,
1305,944,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1CF40BEB8472C1B6A11E19DFE05E8620?id=2007BRU/JOD194-200:3,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.21E+16,-0.73,312000.0,2.1299999999999998e-39,1.0,1.21,16,-312375,CCl3OCl,,,(.)CCl3,ClO,
